time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,24088400,385.4144
1.5000,16.000,13274800,212.3968
2.0000,21.000,9083200,145.3312
2.5000,26.000,5765200,92.2432
3.0000,31.000,2490600,39.8496
3.5000,36.000,1486800,23.7888
4.0000,41.000,751800,12.0288
4.5000,46.000,1248800,19.9808
5.0000,51.000,247800,3.9648
5.5000,56.000,165200,2.6432
6.0000,61.000,79800,1.2768
6.5000,66.000,0,0.0000
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
