time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,31144400,498.3104
1.5000,1.000,36713600,587.4176
2.0000,1.000,40448800,647.1808
2.5000,1.000,37305800,596.8928
3.0000,1.000,28750400,460.0064
3.5000,1.000,37811200,604.9792
4.0000,1.000,40527200,648.4352
4.5000,1.000,38542000,616.6720
5.0000,1.000,40969600,655.5136
5.5000,1.000,42415800,678.6528
6.0000,1.000,38722600,619.5616
6.5000,1.000,33534200,536.5472
7.0000,1.000,39813200,637.0112
7.5000,1.000,39608800,633.7408
8.0000,1.000,37115400,593.8464
8.5000,1.000,39292400,628.6784
9.0000,1.000,38453800,615.2608
9.5000,1.000,38560200,616.9632
10.0000,1.000,42271600,676.3456
