time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,29555400,472.8864
1.5000,8.500,28051800,448.8288
2.0000,11.000,23987600,383.8016
2.5000,13.500,21119000,337.9040
3.0000,16.000,16986200,271.7792
3.5000,18.500,14281400,228.5024
4.0000,21.000,12037200,192.5952
4.5000,23.500,10441200,167.0592
5.0000,26.000,8545600,136.7296
5.5000,28.500,7277200,116.4352
6.0000,31.000,5262600,84.2016
6.5000,33.500,3544800,56.7168
7.0000,36.000,2276400,36.4224
7.5000,38.500,2118200,33.8912
8.0000,41.000,1600200,25.6032
8.5000,43.500,665000,10.6400
9.0000,46.000,862400,13.7984
9.5000,48.500,492800,7.8848
10.0000,51.000,0,0.0000
