time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,41890800,670.2528
1.5000,1.000,35725200,571.6032
2.0000,1.000,39713800,635.4208
2.5000,1.000,40482400,647.7184
3.0000,1.000,31311000,500.9760
3.5000,1.000,36443400,583.0944
4.0000,1.000,37900800,606.4128
4.5000,1.000,37608200,601.7312
5.0000,1.000,37947000,607.1520
5.5000,1.000,43892800,702.2848
6.0000,1.000,34238400,547.8144
6.5000,1.000,35028000,560.4480
7.0000,1.000,34504400,552.0704
7.5000,1.000,35698600,571.1776
8.0000,1.000,37752400,604.0384
8.5000,1.000,39557000,632.9120
9.0000,1.000,38680600,618.8896
9.5000,1.000,40324200,645.1872
10.0000,1.000,42261800,676.1888
