time_s,distance_m,rx_bytes,throughput_mbps
1.0000,2.000,42047600,672.7616
1.5000,2.500,41879600,670.0736
2.0000,3.000,41036800,656.5888
2.5000,3.500,38824800,621.1968
3.0000,4.000,38609200,617.7472
3.5000,4.500,37248400,595.9744
4.0000,5.000,36528800,584.4608
4.5000,5.500,35595000,569.5200
5.0000,6.000,33880000,542.0800
5.5000,6.500,33061000,528.9760
6.0000,7.000,32905600,526.4896
6.5000,7.500,31803800,508.8608
7.0000,8.000,29943200,479.0912
7.5000,8.500,28261800,452.1888
8.0000,9.000,27507200,440.1152
8.5000,9.500,28834400,461.3504
9.0000,10.000,27883800,446.1408
9.5000,10.500,24826200,397.2192
10.0000,11.000,25491200,407.8592
