time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,25146800,402.3488
1.5000,16.000,17519600,280.3136
2.0000,21.000,9556400,152.9024
2.5000,26.000,5698000,91.1680
3.0000,31.000,4251800,68.0288
3.5000,36.000,2571800,41.1488
4.0000,41.000,1995000,31.9200
4.5000,46.000,667800,10.6848
5.0000,51.000,628600,10.0576
5.5000,56.000,281400,4.5024
6.0000,61.000,61600,0.9856
6.5000,66.000,0,0.0000
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
