time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,36496600,583.9456
1.5000,4.000,35663600,570.6176
2.0000,5.000,34496000,551.9360
2.5000,6.000,32034800,512.5568
3.0000,7.000,30742600,491.8816
3.5000,8.000,29120000,465.9200
4.0000,9.000,27528200,440.4512
4.5000,10.000,26321400,421.1424
5.0000,11.000,24052000,384.8320
5.5000,12.000,20636000,330.1760
6.0000,13.000,18954600,303.2736
6.5000,14.000,16758000,268.1280
7.0000,15.000,16389800,262.2368
7.5000,16.000,15622600,249.9616
8.0000,17.000,14158200,226.5312
8.5000,18.000,12408200,198.5312
9.0000,19.000,11876200,190.0192
9.5000,20.000,10241000,163.8560
10.0000,21.000,11117400,177.8784
