time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,33511800,536.1888
1.5000,4.000,34734000,555.7440
2.0000,5.000,31193400,499.0944
2.5000,6.000,27545000,440.7200
3.0000,7.000,23972200,383.5552
3.5000,8.000,23752400,380.0384
4.0000,9.000,21362600,341.8016
4.5000,10.000,21194600,339.1136
5.0000,11.000,20111000,321.7760
5.5000,12.000,20608000,329.7280
6.0000,13.000,17276000,276.4160
6.5000,14.000,15257200,244.1152
7.0000,15.000,13169800,210.7168
7.5000,16.000,11986800,191.7888
8.0000,17.000,11125800,178.0128
8.5000,18.000,8076600,129.2256
9.0000,19.000,10830400,173.2864
9.5000,20.000,8227800,131.6448
10.0000,21.000,6916000,110.6560
