idx,mode,mcs,width,nss
0,EhtMcs0,0,20,1
1,EhtMcs0,0,20,2
2,EhtMcs0,0,40,1
3,EhtMcs0,0,40,2
4,EhtMcs0,0,80,1
5,EhtMcs0,0,80,2
6,EhtMcs1,1,20,1
7,EhtMcs1,1,20,2
8,EhtMcs1,1,40,1
9,EhtMcs1,1,40,2
10,EhtMcs1,1,80,1
11,EhtMcs1,1,80,2
12,EhtMcs2,2,20,1
13,EhtMcs2,2,20,2
14,EhtMcs2,2,40,1
15,EhtMcs2,2,40,2
16,EhtMcs2,2,80,1
17,EhtMcs2,2,80,2
18,EhtMcs3,3,20,1
19,EhtMcs3,3,20,2
20,EhtMcs3,3,40,1
21,EhtMcs3,3,40,2
22,EhtMcs3,3,80,1
23,EhtMcs3,3,80,2
24,EhtMcs4,4,20,1
25,EhtMcs4,4,20,2
26,EhtMcs4,4,40,1
27,EhtMcs4,4,40,2
28,EhtMcs4,4,80,1
29,EhtMcs4,4,80,2
30,EhtMcs5,5,20,1
31,EhtMcs5,5,20,2
32,EhtMcs5,5,40,1
33,EhtMcs5,5,40,2
34,EhtMcs5,5,80,1
35,EhtMcs5,5,80,2
36,EhtMcs6,6,20,1
37,EhtMcs6,6,20,2
38,EhtMcs6,6,40,1
39,EhtMcs6,6,40,2
40,EhtMcs6,6,80,1
41,EhtMcs6,6,80,2
42,EhtMcs7,7,20,1
43,EhtMcs7,7,20,2
44,EhtMcs7,7,40,1
45,EhtMcs7,7,40,2
46,EhtMcs7,7,80,1
47,EhtMcs7,7,80,2
48,EhtMcs8,8,20,1
49,EhtMcs8,8,20,2
50,EhtMcs8,8,40,1
51,EhtMcs8,8,40,2
52,EhtMcs8,8,80,1
53,EhtMcs8,8,80,2
54,EhtMcs9,9,20,1
55,EhtMcs9,9,20,2
56,EhtMcs9,9,40,1
57,EhtMcs9,9,40,2
58,EhtMcs9,9,80,1
59,EhtMcs9,9,80,2
60,EhtMcs10,10,20,1
61,EhtMcs10,10,20,2
62,EhtMcs10,10,40,1
63,EhtMcs10,10,40,2
64,EhtMcs10,10,80,1
65,EhtMcs10,10,80,2
66,EhtMcs11,11,20,1
67,EhtMcs11,11,20,2
68,EhtMcs11,11,40,1
69,EhtMcs11,11,40,2
70,EhtMcs11,11,80,1
71,EhtMcs11,11,80,2
72,EhtMcs12,12,20,1
73,EhtMcs12,12,20,2
74,EhtMcs12,12,40,1
75,EhtMcs12,12,40,2
76,EhtMcs12,12,80,1
77,EhtMcs12,12,80,2
78,EhtMcs13,13,20,1
79,EhtMcs13,13,20,2
80,EhtMcs13,13,40,1
81,EhtMcs13,13,40,2
82,EhtMcs13,13,80,1
83,EhtMcs13,13,80,2
