idx,mode,mcs,width,nss
0,HeMcs0,0,20,1
1,HeMcs0,0,20,2
2,HeMcs0,0,40,1
3,HeMcs0,0,40,2
4,HeMcs0,0,80,1
5,HeMcs0,0,80,2
6,HeMcs1,1,20,1
7,HeMcs1,1,20,2
8,HeMcs1,1,40,1
9,HeMcs1,1,40,2
10,HeMcs1,1,80,1
11,HeMcs1,1,80,2
12,HeMcs2,2,20,1
13,HeMcs2,2,20,2
14,HeMcs2,2,40,1
15,HeMcs2,2,40,2
16,HeMcs2,2,80,1
17,HeMcs2,2,80,2
18,HeMcs3,3,20,1
19,HeMcs3,3,20,2
20,HeMcs3,3,40,1
21,HeMcs3,3,40,2
22,HeMcs3,3,80,1
23,HeMcs3,3,80,2
24,HeMcs4,4,20,1
25,HeMcs4,4,20,2
26,HeMcs4,4,40,1
27,HeMcs4,4,40,2
28,HeMcs4,4,80,1
29,HeMcs4,4,80,2
30,HeMcs5,5,20,1
31,HeMcs5,5,20,2
32,HeMcs5,5,40,1
33,HeMcs5,5,40,2
34,HeMcs5,5,80,1
35,HeMcs5,5,80,2
36,HeMcs6,6,20,1
37,HeMcs6,6,20,2
38,HeMcs6,6,40,1
39,HeMcs6,6,40,2
40,HeMcs6,6,80,1
41,HeMcs6,6,80,2
42,HeMcs7,7,20,1
43,HeMcs7,7,20,2
44,HeMcs7,7,40,1
45,HeMcs7,7,40,2
46,HeMcs7,7,80,1
47,HeMcs7,7,80,2
48,HeMcs8,8,20,1
49,HeMcs8,8,20,2
50,HeMcs8,8,40,1
51,HeMcs8,8,40,2
52,HeMcs8,8,80,1
53,HeMcs8,8,80,2
54,HeMcs9,9,20,1
55,HeMcs9,9,20,2
56,HeMcs9,9,40,1
57,HeMcs9,9,40,2
58,HeMcs9,9,80,1
59,HeMcs9,9,80,2
60,HeMcs10,10,20,1
61,HeMcs10,10,20,2
62,HeMcs10,10,40,1
63,HeMcs10,10,40,2
64,HeMcs10,10,80,1
65,HeMcs10,10,80,2
66,HeMcs11,11,20,1
67,HeMcs11,11,20,2
68,HeMcs11,11,40,1
69,HeMcs11,11,40,2
70,HeMcs11,11,80,1
71,HeMcs11,11,80,2
