time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,36218000,579.4880
1.5000,1.000,27594000,441.5040
2.0000,1.000,42044800,672.7168
2.5000,1.000,44830800,717.2928
3.0000,1.000,32795000,524.7200
3.5000,1.000,32515000,520.2400
4.0000,1.000,22689800,363.0368
4.5000,1.000,28480200,455.6832
5.0000,1.000,33215000,531.4400
5.5000,1.000,44723000,715.5680
6.0000,1.000,28694400,459.1104
6.5000,1.000,16879800,270.0768
7.0000,1.000,2662800,42.6048
7.5000,1.000,35550200,568.8032
8.0000,1.000,43975400,703.6064
8.5000,1.000,36131200,578.0992
9.0000,1.000,31423000,502.7680
9.5000,1.000,27300000,436.8000
10.0000,1.000,43040200,688.6432
