time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,37186800,594.9888
1.5000,1.000,37511600,600.1856
2.0000,1.000,37492000,599.8720
2.5000,1.000,37504600,600.0736
3.0000,1.000,37496200,599.9392
3.5000,1.000,37506000,600.0960
4.0000,1.000,37490600,599.8496
4.5000,1.000,37507400,600.1184
5.0000,1.000,37489200,599.8272
5.5000,1.000,37506000,600.0960
6.0000,1.000,37487800,599.8048
6.5000,1.000,37513000,600.2080
7.0000,1.000,37494800,599.9168
7.5000,1.000,37494800,599.9168
8.0000,1.000,37511600,600.1856
