time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,37420600,598.7296
1.5000,1.000,37501800,600.0288
2.0000,1.000,37492000,599.8720
2.5000,1.000,37499000,599.9840
3.0000,1.000,37493400,599.8944
3.5000,1.000,37504600,600.0736
4.0000,1.000,37503200,600.0512
4.5000,1.000,37497600,599.9616
5.0000,1.000,37503200,600.0512
5.5000,1.000,37503200,600.0512
6.0000,1.000,37503200,600.0512
6.5000,1.000,37496200,599.9392
7.0000,1.000,37480800,599.6928
7.5000,1.000,37501800,600.0288
8.0000,1.000,37515800,600.2528
