time_s,distance_m,rx_bytes,throughput_mbps
1.0000,1.000,37424800,598.7968
1.5000,1.000,37489200,599.8272
2.0000,1.000,37496200,599.9392
2.5000,1.000,37511600,600.1856
3.0000,1.000,37504600,600.0736
3.5000,1.000,37500400,600.0064
4.0000,1.000,37499000,599.9840
4.5000,1.000,37490600,599.8496
5.0000,1.000,37507400,600.1184
5.5000,1.000,37497600,599.9616
6.0000,1.000,37492000,599.8720
6.5000,1.000,37507400,600.1184
7.0000,1.000,37482200,599.7152
7.5000,1.000,37517200,600.2752
8.0000,1.000,37497600,599.9616
