time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,21725200,347.6032
1.5000,20.000,20508600,328.1376
2.0000,20.000,18211200,291.3792
2.5000,20.000,18726400,299.6224
3.0000,20.000,18908400,302.5344
3.5000,20.000,18254600,292.0736
4.0000,20.000,18379200,294.0672
4.5000,20.000,22491000,359.8560
5.0000,20.000,21081200,337.2992
5.5000,20.000,20753600,332.0576
6.0000,20.000,19215000,307.4400
6.5000,20.000,19755400,316.0864
7.0000,20.000,19668600,314.6976
7.5000,20.000,17740800,283.8528
8.0000,20.000,20991600,335.8656
8.5000,20.000,20399400,326.3904
9.0000,20.000,20083000,321.3280
9.5000,20.000,17943800,287.1008
10.0000,20.000,19245800,307.9328
