time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,13624800,217.9968
1.5000,20.000,14596400,233.5424
2.0000,20.000,13979000,223.6640
2.5000,20.000,15426600,246.8256
3.0000,20.000,13403600,214.4576
3.5000,20.000,14393400,230.2944
4.0000,20.000,14303800,228.8608
4.5000,20.000,14117600,225.8816
5.0000,20.000,14329000,229.2640
5.5000,20.000,14186200,226.9792
6.0000,20.000,14044800,224.7168
6.5000,20.000,13840400,221.4464
7.0000,20.000,13374200,213.9872
7.5000,20.000,14348600,229.5776
8.0000,20.000,13431600,214.9056
8.5000,20.000,14064400,225.0304
9.0000,20.000,13752200,220.0352
9.5000,20.000,14842800,237.4848
10.0000,20.000,13984600,223.7536
