time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,0,0.0000
1.5000,20.000,0,0.0000
2.0000,20.000,159600,2.5536
2.5000,20.000,364000,5.8240
3.0000,20.000,380800,6.0928
3.5000,20.000,355600,5.6896
4.0000,20.000,504000,8.0640
4.5000,20.000,819000,13.1040
5.0000,20.000,1303400,20.8544
5.5000,20.000,1622600,25.9616
6.0000,20.000,1694000,27.1040
6.5000,20.000,1611400,25.7824
7.0000,20.000,1598800,25.5808
7.5000,20.000,2752400,44.0384
8.0000,20.000,3248000,51.9680
8.5000,20.000,2545200,40.7232
9.0000,20.000,4474400,71.5904
9.5000,20.000,6064800,97.0368
10.0000,20.000,7212800,115.4048
