time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,159600,2.5536
1.5000,20.000,372400,5.9584
2.0000,20.000,375200,6.0032
2.5000,20.000,389200,6.2272
3.0000,20.000,623000,9.9680
3.5000,20.000,921200,14.7392
4.0000,20.000,1479800,23.6768
4.5000,20.000,1605800,25.6928
5.0000,20.000,2130800,34.0928
5.5000,20.000,2893800,46.3008
6.0000,20.000,2557800,40.9248
6.5000,20.000,2520000,40.3200
7.0000,20.000,3141600,50.2656
7.5000,20.000,3831800,61.3088
8.0000,20.000,5490800,87.8528
8.5000,20.000,6777400,108.4384
9.0000,20.000,6694800,107.1168
9.5000,20.000,6647200,106.3552
10.0000,20.000,7151200,114.4192
