time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,16123800,257.9808
1.5000,20.000,16423400,262.7744
2.0000,20.000,15344000,245.5040
2.5000,20.000,15568000,249.0880
3.0000,20.000,16158800,258.5408
3.5000,20.000,15180200,242.8832
4.0000,20.000,16713200,267.4112
4.5000,20.000,18922400,302.7584
5.0000,20.000,16588600,265.4176
5.5000,20.000,17246600,275.9456
6.0000,20.000,15995000,255.9200
6.5000,20.000,17050600,272.8096
7.0000,20.000,17206000,275.2960
7.5000,20.000,14679000,234.8640
8.0000,20.000,17675000,282.8000
8.5000,20.000,16129400,258.0704
9.0000,20.000,16289000,260.6240
9.5000,20.000,14865200,237.8432
10.0000,20.000,16105600,257.6896
