time_s,distance_m,rx_bytes,throughput_mbps
1.0000,20.000,9794400,156.7104
1.5000,20.000,13491800,215.8688
2.0000,20.000,11872000,189.9520
2.5000,20.000,14882000,238.1120
3.0000,20.000,15687000,250.9920
3.5000,20.000,16833600,269.3376
4.0000,20.000,16437400,262.9984
4.5000,20.000,16202200,259.2352
5.0000,20.000,15369200,245.9072
5.5000,20.000,16493400,263.8944
6.0000,20.000,15939000,255.0240
6.5000,20.000,16363200,261.8112
7.0000,20.000,15237600,243.8016
7.5000,20.000,16543800,264.7008
8.0000,20.000,15715000,251.4400
8.5000,20.000,15274000,244.3840
9.0000,20.000,15671600,250.7456
9.5000,20.000,15961400,255.3824
10.0000,20.000,15460200,247.3632
