time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,29344000,469.5040
1.5000,8.500,28485800,455.7728
2.0000,11.000,24018400,384.2944
2.5000,13.500,19041400,304.6624
3.0000,16.000,16590000,265.4400
3.5000,18.500,12766600,204.2656
4.0000,21.000,12685400,202.9664
4.5000,23.500,10501400,168.0224
5.0000,26.000,7539000,120.6240
5.5000,28.500,7162400,114.5984
6.0000,31.000,5042800,80.6848
6.5000,33.500,3617600,57.8816
7.0000,36.000,3186400,50.9824
7.5000,38.500,2023000,32.3680
8.0000,41.000,1169000,18.7040
8.5000,43.500,982800,15.7248
9.0000,46.000,597800,9.5648
9.5000,48.500,308000,4.9280
10.0000,51.000,123200,1.9712
