time_s,distance_m,rx_bytes,throughput_mbps
1.0000,6.000,33755400,540.0864
1.5000,8.500,26248600,419.9776
2.0000,11.000,19212200,307.3952
2.5000,13.500,18418400,294.6944
3.0000,16.000,16731400,267.7024
3.5000,18.500,9808400,156.9344
4.0000,21.000,11120200,177.9232
4.5000,23.500,6364400,101.8304
5.0000,26.000,6354600,101.6736
5.5000,28.500,3939600,63.0336
6.0000,31.000,3565800,57.0528
6.5000,33.500,3600800,57.6128
7.0000,36.000,2233000,35.7280
7.5000,38.500,1374800,21.9968
8.0000,41.000,1230600,19.6896
8.5000,43.500,1131200,18.0992
9.0000,46.000,662200,10.5952
9.5000,48.500,246400,3.9424
10.0000,51.000,86800,1.3888
